product_id,category,stock,original_price,competitor_price,sales_rating,last_week_sales,discount_applied,target_price
101,electronics,10,500,480,4.2,10,0.05,470
102,clothing,50,1200,1100,3.8,35,0.1,1080
103,beauty,30,300,290,4.5,25,0.03,285
104,home,20,700,650,4.0,20,0.07,660
105,toys,60,800,770,4.3,45,0.08,780
106,furniture,25,1500,1450,3.9,15,0.12,1420
107,grocery,100,100,95,4.7,90,0.01,98
108,sports,35,650,620,4.1,30,0.06,630
109,automotive,12,900,880,3.6,18,0.09,860
110,books,55,350,330,4.4,50,0.04,340
